Nominee,Party,Home.state,Running.mate,Electoral.vote,Popular.vote,Percentage,year,state,url
Herbert Hoover,Republican,California,Charles Curtis,0,99212,34.4,1932,South_Dakota,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_South_Dakota
Franklin D Roosevelt,Democratic,New York,John Nance Garner,4,160137,54.02,1936,South_Dakota,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Dakota
Alf Landon,Republican,Kansas,Frank Knox,0,125977,42.49,1936,South_Dakota,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_South_Dakota
Wendell Willkie,Republican,Indiana,Charles L McNary,4,177065,57.4,1940,South_Dakota,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Dakota
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,0,131362,42.6,1940,South_Dakota,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_South_Dakota
Thomas E Dewey,Republican,New York,John W Bricker,4,135365,58.3,1944,South_Dakota,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_South_Dakota
Franklin D Roosevelt,Democratic,New York,Harry S Truman,0,96711,41.7,1944,South_Dakota,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_South_Dakota
Thomas Dewey,Republican,New York,Earl Warren,4,129651,51.8,1948,South_Dakota,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_South_Dakota
Harry S Truman,Democratic,Missouri,Alben W Barkley,0,117653,47,1948,South_Dakota,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_South_Dakota
Dwight D Eisenhower,Republican,New York,Richard Nixon,4,203857,69.27,1952,South_Dakota,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_South_Dakota
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,90426,30.73,1952,South_Dakota,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_South_Dakota
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,4,171569,58.4,1956,South_Dakota,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_South_Dakota
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,122288,41.6,1956,South_Dakota,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_South_Dakota
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,4,178417,58.2,1960,South_Dakota,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_South_Dakota
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,128070,41.8,1960,South_Dakota,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_South_Dakota
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,4,163010,55.6,1964,South_Dakota,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_South_Dakota
Barry Goldwater,Republican,Arizona,William E Miller,0,130108,44.4,1964,South_Dakota,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_South_Dakota
Richard Nixon,Republican,New York,Spiro Agnew,4,149841,53.3,1968,South_Dakota,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_South_Dakota
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,118023,41.9,1968,South_Dakota,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_South_Dakota
Richard Nixon,Republican,California,Spiro Agnew,4,166476,54.15,1972,South_Dakota,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_South_Dakota
George McGovern,Democratic,South Dakota,Sargent Shriver,0,139945,45.52,1972,South_Dakota,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_South_Dakota
Gerald Ford,Republican,Michigan,Bob Dole,4,151505,50.39,1976,South_Dakota,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_South_Dakota
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,147068,48.91,1976,South_Dakota,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_South_Dakota
Ronald Reagan,Republican,California,George H W Bush,4,198343,60.53,1980,South_Dakota,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_South_Dakota
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,103855,31.69,1980,South_Dakota,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_South_Dakota
John B Anderson,Independent,Illinois,Flint,0,21431,6.54,1980,South_Dakota,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_South_Dakota
Ronald Reagan,Republican,California,George H W Bush,3,200267,63,1984,South_Dakota,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_South_Dakota
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,116113,36.53,1984,South_Dakota,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_South_Dakota
George H W Bush,Republican,Texas,Dan Quayle,3,165415,52.85,1988,South_Dakota,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_South_Dakota
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,145560,46.51,1988,South_Dakota,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_South_Dakota
George H W Bush,Republican,Texas,Dan Quayle,3,136718,40.66,1992,South_Dakota,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_South_Dakota
Bill Clinton,Democratic,Arkansas,Al Gore,0,124888,37.14,1992,South_Dakota,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_South_Dakota
Ross Perot,Independent,Texas,James Stockdale,0,73295,21.8,1992,South_Dakota,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_South_Dakota
Bob Dole,Republican,Kansas,Jack Kemp,3,150543,46.49,1996,South_Dakota,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_South_Dakota
Bill Clinton,Democratic,Arkansas,Al Gore,0,139333,43.03,1996,South_Dakota,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_South_Dakota
Ross Perot,Independent,Texas,James Campbell,0,31250,9.65,1996,South_Dakota,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_South_Dakota
George W Bush,Republican,Texas,Dick Cheney,3,190700,60.3,2000,South_Dakota,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_South_Dakota
Al Gore,Democratic,Tennessee,Joe Lieberman,0,118804,37.56,2000,South_Dakota,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_South_Dakota
George W Bush,Republican,Texas,Dick Cheney,3,232584,59.91,2004,South_Dakota,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_South_Dakota
John Kerry,Democratic,Massachusetts,John Edwards,0,149244,38.44,2004,South_Dakota,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_South_Dakota
John McCain,Republican,Arizona,Sarah Palin,3,203054,53.16,2008,South_Dakota,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_South_Dakota
Barack Obama,Democratic,Illinois,Joe Biden,0,170924,44.75,2008,South_Dakota,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_South_Dakota
Mitt Romney,Republican,Massachusetts,Paul Ryan,3,210610,57.89,2012,South_Dakota,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_South_Dakota
Barack Obama,Democratic,Illinois,Joe Biden,0,145039,39.87,2012,South_Dakota,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_South_Dakota
Donald Trump,Republican,New York,Mike Pence,3,227721,61.53,2016,South_Dakota,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_South_Dakota
Hillary Clinton,Democratic,New York,Tim Kaine,0,117458,31.74,2016,South_Dakota,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_South_Dakota
Gary Johnson,Libertarian,New Mexico,Bill Weld,0,20845,5.63,2016,South_Dakota,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_South_Dakota
Warren G Harding,Republican,Ohio,Calvin Coolidge,12,219829,51.29,1920,Tennessee,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Tennessee
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,206558,48.19,1920,Tennessee,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Tennessee
John W Davis,Democratic,West Virginia,Charles W Bryan,12,158682,52.86,1924,Tennessee,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Tennessee
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,0,130728,43.54,1924,Tennessee,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Tennessee
Herbert Hoover,Republican,California,Charles Curtis,12,195388,53.76,1928,Tennessee,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Tennessee
Al Smith,Democratic,New York,Joseph Taylor Robinson,0,167343,46.04,1928,Tennessee,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Tennessee
Franklin D Roosevelt,Democratic,New York,John Nance Garner,11,259473,66.5,1932,Tennessee,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Tennessee
Herbert Hoover,Republican,California,Charles Curtis,0,126752,32.5,1932,Tennessee,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Tennessee
Franklin D Roosevelt,Democratic,New York,John Nance Garner,11,327083,68.8,1936,Tennessee,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Tennessee
Alf Landon,Republican,Kansas,Frank Knox,0,146520,30.8,1936,Tennessee,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Tennessee
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,11,351601,67.3,1940,Tennessee,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Tennessee
Wendell Willkie,Republican,Indiana,Charles L McNary,0,169153,32.4,1940,Tennessee,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Tennessee
Franklin D Roosevelt,Democratic,New York,Harry S Truman,12,308707,60.5,1944,Tennessee,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Tennessee
Thomas E Dewey,Republican,New York,John W Bricker,0,200311,39.2,1944,Tennessee,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Tennessee
Harry S Truman,Democratic,Missouri,Alben W Barkley,11,270402,49.1,1948,Tennessee,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Tennessee
Thomas E Dewey,Republican,New York,Earl Warren,0,202914,36.9,1948,Tennessee,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Tennessee
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,1,73815,13.4,1948,Tennessee,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Tennessee
Dwight D Eisenhower,Republican,New York,Richard Nixon,11,446147,49.99,1952,Tennessee,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Tennessee
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,443710,49.71,1952,Tennessee,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Tennessee
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,11,462288,49.2,1956,Tennessee,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Tennessee
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,456507,48.6,1956,Tennessee,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Tennessee
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,11,556577,52.9,1960,Tennessee,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Tennessee
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,481453,45.8,1960,Tennessee,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Tennessee
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,11,634947,55.5,1964,Tennessee,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Tennessee
Barry Goldwater,Republican,Arizona,William E Miller,0,508965,44.5,1964,Tennessee,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Tennessee
Richard Nixon,Republican,New York,Spiro Agnew,11,472592,37.9,1968,Tennessee,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Tennessee
George Wallace,American,Alabama,Curtis LeMay,0,424792,34,1968,Tennessee,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Tennessee
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,351233,28.1,1968,Tennessee,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Tennessee
Richard Nixon,Republican,California,Spiro Agnew,10,813147,67.7,1972,Tennessee,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Tennessee
George McGovern,Democratic,South Dakota,Sargent Shriver,0,357293,29.8,1972,Tennessee,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Tennessee
Jimmy Carter,Democratic,Georgia,Walter Mondale,10,825879,55.94,1976,Tennessee,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Tennessee
Gerald Ford,Republican,Michigan,Bob Dole,0,633969,42.94,1976,Tennessee,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Tennessee
Ronald Reagan,Republican,California,George H W Bush,10,787761,48.7,1980,Tennessee,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Tennessee
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,783051,48.41,1980,Tennessee,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Tennessee
Ronald Reagan,Republican,California,George H W Bush,11,990212,57.84,1984,Tennessee,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Tennessee
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,711714,41.57,1984,Tennessee,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Tennessee
George H W Bush,Republican,Texas,Dan Quayle,11,947233,57.89,1988,Tennessee,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Tennessee
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,679794,41.55,1988,Tennessee,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Tennessee
Bill Clinton,Democratic,Arkansas,Al Gore,11,933521,47.08,1992,Tennessee,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Tennessee
George H W Bush,Republican,Texas,Dan Quayle,0,841300,42.43,1992,Tennessee,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Tennessee
Ross Perot,Independent,Texas,James Stockdale,0,199968,10.09,1992,Tennessee,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Tennessee
Bill Clinton,Democratic,Arkansas,Al Gore,11,909146,48,1996,Tennessee,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Tennessee
Bob Dole,Republican,Kansas,Jack Kemp,0,863530,45.59,1996,Tennessee,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Tennessee
Ross Perot,Independent,Texas,James Campbell,0,105918,5.59,1996,Tennessee,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Tennessee
George W Bush,Republican,Texas,Dick Cheney,11,1061949,51.15,2000,Tennessee,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Tennessee
Al Gore,Democratic,Tennessee,Joe Lieberman,0,981720,47.28,2000,Tennessee,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Tennessee
George W Bush,Republican,Texas,Dick Cheney,11,1384375,56.81,2004,Tennessee,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Tennessee
John Kerry,Democratic,Massachusetts,John Edwards,0,1036477,42.51,2004,Tennessee,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Tennessee
John McCain,Republican,Arizona,Sarah Palin,11,1479178,56.85,2008,Tennessee,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Tennessee
Barack Obama,Democratic,Illinois,Joe Biden,0,1087437,41.79,2008,Tennessee,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Tennessee
Mitt Romney,Republican,Massachusetts,Paul Ryan,11,1462330,59.48,2012,Tennessee,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Tennessee
Barack Obama,Democratic,Illinois,Joe Biden,0,960709,39.08,2012,Tennessee,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Tennessee
Donald Trump,Republican,New York,Mike Pence,11,1522925,60.72,2016,Tennessee,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Tennessee
Hillary Clinton,Democratic,New York,Tim Kaine,0,870695,34.72,2016,Tennessee,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Tennessee
James M Cox,Democratic,Ohio,Franklin D Roosevelt,20,288767,59.3,1920,Texas,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Texas
Warren G Harding,Republican,Ohio,Calvin Coolidge,0,114538,23.5,1920,Texas,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Texas
John W Davis,Democratic,West Virginia,Charles W Bryan,20,484605,73.7,1924,Texas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,0,130023,19.8,1924,Texas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,42881,6.5,1924,Texas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Texas
Herbert Hoover,Republican,California,Charles Curtis,20,367036,51.8,1928,Texas,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Texas
Al Smith,Democratic,New York,Joseph T Robinson,0,341032,48.1,1928,Texas,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Texas
Franklin D Roosevelt,Democratic,New York,John N Garner,23,760348,88.06,1932,Texas,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Texas
Herbert Hoover,Republican,California,Charles Curtis,0,97959,11.35,1932,Texas,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Texas
Franklin D Roosevelt,Democratic,New York,John Nance Garner,23,739952,87.1,1936,Texas,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Texas
Alf Landon,Republican,Kansas,Frank Knox,0,104661,12.3,1936,Texas,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Texas
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,23,909974,80.9,1940,Texas,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Texas
Wendell Willkie,Republican,Indiana,Charles L McNary,0,212692,18.9,1940,Texas,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Texas
Franklin D Roosevelt,Democratic,New York,Harry Truman,23,821605,71.4,1944,Texas,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Texas
Thomas E Dewey,Republican,New York,John Bricker,0,191425,16.6,1944,Texas,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Texas
Unpledged electors,Texas Regulars,Texas,Electoral vote,0,135439,11.8,1944,Texas,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Texas
Harry S Truman,Democratic,Missouri,Alben W Barkley,23,824235,66,1948,Texas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Texas
Thomas E Dewey,Republican,New York,Earl Warren,0,303467,24.3,1948,Texas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Texas
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,0,113776,9.1,1948,Texas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Texas
Dwight D Eisenhower,Republican,New York,Richard Nixon,24,1102878,53.1,1952,Texas,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Texas
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,969228,46.7,1952,Texas,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Texas
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,24,1080619,55.3,1956,Texas,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Texas
Adlai Stevenson II,Democratic,Illinois,Estes Kefauver,0,859958,44,1956,Texas,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Texas
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,24,1167567,50.52,1960,Texas,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Texas
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,1121310,48.52,1960,Texas,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Texas
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,25,1663185,63.3,1964,Texas,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Texas
Barry Goldwater,Republican,Arizona,William E Miller,0,958566,36.5,1964,Texas,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Texas
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,25,1266804,41.1,1968,Texas,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Texas
Richard Nixon,Republican,New York,Spiro Agnew,0,1227844,39.9,1968,Texas,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Texas
George Wallace,American Independent,Alabama,Curtis LeMay,0,584269,19,1968,Texas,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Texas
Richard Nixon,Republican,California,Spiro Agnew,26,2298896,66.2,1972,Texas,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Texas
George McGovern,Democratic,South Dakota,Sargent Shriver,0,1154291,33.2,1972,Texas,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Texas
Jimmy Carter,Democratic,Georgia,Walter Mondale,26,2082319,51.14,1976,Texas,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Texas
Gerald Ford,Republican,Michigan,Bob Dole,0,1953300,47.97,1976,Texas,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Texas
Ronald Reagan,Republican,California,George H W Bush,26,2510705,55.28,1980,Texas,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Texas
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,1881147,41.42,1980,Texas,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Texas
Ronald Reagan,Republican,California,George H W Bush,29,3433428,63.61,1984,Texas,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Texas
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,1949276,36.11,1984,Texas,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Texas
George H W Bush,Republican,Texas,Dan Quayle,29,3036829,55.95,1988,Texas,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Texas
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,2352748,43.35,1988,Texas,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Texas
George H W Bush,Republican,Texas,Dan Quayle,32,2496071,40.56,1992,Texas,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Texas
Bill Clinton,Democratic,Arkansas,Al Gore,0,2281815,37.08,1992,Texas,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Texas
Ross Perot,Independent,Texas,James Stockdale,0,1354781,22.01,1992,Texas,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Texas
Bob Dole,Republican,Kansas,Jack Kemp,32,2736167,48.76,1996,Texas,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Texas
Bill Clinton,Democratic,Arkansas,Al Gore,0,2459683,43.83,1996,Texas,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Texas
Ross Perot,Independent,Texas,James Campbell,0,378537,6.75,1996,Texas,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Texas
George W Bush,Republican,Texas,Dick Cheney,32,3799639,59.3,2000,Texas,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Texas
Al Gore,Democratic,Tennessee,Joe Lieberman,0,2433746,37.98,2000,Texas,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Texas
George W Bush,Republican,Texas,Dick Cheney,34,4526917,61.09,2004,Texas,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Texas
John Kerry,Democratic,Massachusetts,John Edwards,0,2832704,38.22,2004,Texas,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Texas
John McCain,Republican,Arizona,Sarah Palin,34,4479328,55.45,2008,Texas,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Texas
Barack Obama,Democratic,Illinois,Joe Biden,0,3528633,43.68,2008,Texas,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Texas
Mitt Romney,Republican,Massachusetts,Paul Ryan,38,4569843,57.17,2012,Texas,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas
Barack Obama,Democratic,Illinois,Joe Biden,0,3308124,41.38,2012,Texas,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas
Donald Trump,Republican,New York,Mike Pence,36,4685047,52.23,2016,Texas,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Texas
Hillary Clinton,Democratic,New York,Tim Kaine,0,3877868,43.24,2016,Texas,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Texas
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,3,169796,85.5,1964,the_District_of_Columbia,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_the_District_of_Columbia
Barry Goldwater,Republican,Arizona,William E Miller,0,28801,14.5,1964,the_District_of_Columbia,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_the_District_of_Columbia
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,3,139566,81.82,1968,the_District_of_Columbia,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_the_District_of_Columbia
Richard Nixon,Republican,New York,Spiro Agnew,0,31012,18.18,1968,the_District_of_Columbia,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_the_District_of_Columbia
George McGovern,Democratic,South Dakota,Sargent Shriver,3,127627,78.1,1972,the_District_of_Columbia,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_the_District_of_Columbia
Richard Nixon,Republican,California,Spiro Agnew,0,35226,21.56,1972,the_District_of_Columbia,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_the_District_of_Columbia
Jimmy Carter,Democratic,Georgia,Walter Mondale,3,137818,81.63,1976,the_District_of_Columbia,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_the_District_of_Columbia
Gerald Ford,Republican,Michigan,Bob Dole,0,27873,16.51,1976,the_District_of_Columbia,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_the_District_of_Columbia
Jimmy Carter,Democratic,Georgia,Walter Mondale,3,130231,74.89,1980,the_District_of_Columbia,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia
Ronald Reagan,Republican,California,George H W Bush,0,23313,13.41,1980,the_District_of_Columbia,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia
John B Anderson,Independent,Illinois,Patrick Lucey,0,16131,9.28,1980,the_District_of_Columbia,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_the_District_of_Columbia
Walter Mondale,Democratic,Minnesota,Geraldine Ferarro,3,180408,85.38,1984,the_District_of_Columbia,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_the_District_of_Columbia
Ronald Reagan,Republican,California,George H W Bush,0,29009,13.73,1984,the_District_of_Columbia,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_the_District_of_Columbia
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,3,159407,82.65,1988,the_District_of_Columbia,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_the_District_of_Columbia
George H W Bush,Republican,Texas,Dan Quayle,0,27590,14.3,1988,the_District_of_Columbia,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_the_District_of_Columbia
