"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Wendell Willkie","Republican","New York","Charles L McNary",0,54030,36.01,1940,"Arizona","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona",41237,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",4,80926,58.8,1944,"Arizona","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona",24639,4,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,56287,40.9,1944,"Arizona","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona",24639,4,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",4,95251,53.79,1948,"Arizona","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona",17654,4,"Harry S Truman","Harry S Truman",111495
"Thomas E Dewey","Republican","New York","Earl Warren",0,77597,43.82,1948,"Arizona","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona",17654,4,"Harry S Truman","Harry S Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",4,152042,58.4,1952,"Arizona","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona",43514,4,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,108528,41.7,1952,"Arizona","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona",43514,4,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",4,176990,60.9,1956,"Arizona","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona",64110,4,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,112880,38.9,1956,"Arizona","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona",64110,4,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",4,221241,55.5,1960,"Arizona","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona",44460,4,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,176781,44.4,1960,"Arizona","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona",44460,4,"John F Kennedy","Richard Nixon",22724.0000000001
"Barry Goldwater","Republican","Arizona","William E Miller",5,242535,50.45,1964,"Arizona","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona",4782,5,"Lyndon B Johnson","Barry Goldwater",4118457
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",0,237753,49.45,1964,"Arizona","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona",4782,5,"Lyndon B Johnson","Barry Goldwater",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",5,266721,54.8,1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona",96207,5,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,170514,35,1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona",96207,5,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Curtis LeMay",0,46573,9.6,1968,"Arizona","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona",96207,5,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",6,402812,61.6,1972,"Arizona","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona",204272,6,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,198540,30.4,1972,"Arizona","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona",204272,6,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",6,418642,56.37,1976,"Arizona","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona",123040,6,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,295602,39.8,1976,"Arizona","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona",123040,6,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",6,529688,60.61,1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona",282845,6,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,246843,28.24,1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona",282845,6,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,76952,8.81,1980,"Arizona","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona",282845,6,"Ronald Reagan","Ronald Reagan",1462353
