"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Hillary Clinton","Democratic","New York","Tim Kaine",0,310676,27.46,2016,"Utah","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Utah",204555,6,"Donald Trump","Donald Trump",77744
"Evan McMullin","Independent","Utah","Nathan Johnson",0,243690,21.54,2016,"Utah","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Utah",204555,6,"Donald Trump","Donald Trump",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",4,68212,75.82,1920,"Vermont","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Vermont",47293,4,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,20919,23.25,1920,"Vermont","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Vermont",47293,4,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",4,80498,78.22,1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont",64374,4,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,16124,15.67,1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont",64374,4,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,5964,5.79,1924,"Vermont","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Vermont",64374,4,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",4,90404,66.87,1928,"Vermont","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Vermont",45964,4,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,44440,32.87,1928,"Vermont","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Vermont",45964,4,"Herbert Hoover","Herbert Hoover",866640
"Herbert Hoover","Republican","California","Charles Curtis",3,78984,57.66,1932,"Vermont","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Vermont",22718,3,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John N Garner",0,56266,41.08,1932,"Vermont","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Vermont",22718,3,"Franklin D Roosevelt","Herbert Hoover",1801018
"Alf Landon","Republican","Kansas","Frank Knox",3,81023,56.39,1936,"Vermont","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Vermont",18899,3,"Franklin D Roosevelt","Alf Landon",3834458
"Franklin D Roosevelt","Democratic","New York","John N Garner",0,62124,43.24,1936,"Vermont","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Vermont",18899,3,"Franklin D Roosevelt","Alf Landon",3834458
"Wendell Willkie","Republican","Indiana","Charles L McNary",3,78371,54.78,1940,"Vermont","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Vermont",14102,3,"Franklin D Roosevelt","Wendell Willkie",891866
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",0,64269,44.92,1940,"Vermont","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Vermont",14102,3,"Franklin D Roosevelt","Wendell Willkie",891866
"Thomas E Dewey","Republican","New York","John W Bricker",3,71527,57.06,1944,"Vermont","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Vermont",17707,3,"Franklin D Roosevelt","Thomas E Dewey",581936
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",0,53820,42.93,1944,"Vermont","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Vermont",17707,3,"Franklin D Roosevelt","Thomas E Dewey",581936
"Thomas E Dewey","Republican","New York","Earl Warren",3,75926,61.54,1948,"Vermont","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Vermont",30369,3,"Harry S Truman","Thomas E Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben W Barkley",0,45557,36.92,1948,"Vermont","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Vermont",30369,3,"Harry S Truman","Thomas E Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",3,109717,71.45,1952,"Vermont","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Vermont",66362,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,43355,28.23,1952,"Vermont","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Vermont",66362,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania note 1","Richard Nixon",3,110390,72.16,1956,"Vermont","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Vermont",67841,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,42549,27.81,1956,"Vermont","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Vermont",67841,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",3,98131,58.65,1960,"Vermont","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Vermont",28945,3,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,69186,41.35,1960,"Vermont","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Vermont",28945,3,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",3,108127,66.3,1964,"Vermont","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Vermont",53185,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,54942,33.69,1964,"Vermont","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Vermont",53185,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",3,85142,52.75,1968,"Vermont","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Vermont",14887,3,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,70255,43.53,1968,"Vermont","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Vermont",14887,3,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",3,117149,62.66,1972,"Vermont","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Vermont",48975,3,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,68174,36.47,1972,"Vermont","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Vermont",48975,3,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",3,102085,54.34,1976,"Vermont","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Vermont",21041,3,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,81044,43.14,1976,"Vermont","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Vermont",21041,3,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",3,94598,44.37,1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont",12707,3,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,81891,38.41,1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont",12707,3,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,31760,14.9,1980,"Vermont","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Vermont",12707,3,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",3,135865,57.92,1984,"Vermont","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Vermont",40135,3,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,95730,40.81,1984,"Vermont","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Vermont",40135,3,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",3,124331,51.1,1988,"Vermont","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Vermont",8556,3,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,115775,47.58,1988,"Vermont","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Vermont",8556,3,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",3,133592,46.11,1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont",45470,3,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,88122,30.42,1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont",45470,3,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,65991,22.78,1992,"Vermont","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Vermont",45470,3,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",3,137894,53.35,1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont",57542,3,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,80352,31.09,1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont",57542,3,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Patrick Choate",0,31024,12,1996,"Vermont","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Vermont",57542,3,"Bill Clinton","Bill Clinton",1151013
"Al Gore","Democratic","Tennessee","Joe Lieberman",3,149022,50.63,2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont",29247,3,"George W Bush","Al Gore",537
"George W Bush","Republican","Texas","Dick Cheney",0,119775,40.7,2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont",29247,3,"George W Bush","Al Gore",537
"Ralph Nader","Green","Connecticut","Winona LaDuke",0,20374,6.92,2000,"Vermont","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Vermont",29247,3,"George W Bush","Al Gore",537
"John Kerry","Democratic","Massachusetts","John Edwards",3,184067,58.94,2004,"Vermont","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Vermont",62887,3,"George W Bush","John Kerry",115570
"George W Bush","Republican","Texas","Dick Cheney",0,121180,38.8,2004,"Vermont","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Vermont",62887,3,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",3,219262,67.46,2008,"Vermont","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Vermont",120288,3,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,98974,30.45,2008,"Vermont","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Vermont",120288,3,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",3,199239,66.57,2012,"Vermont","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Vermont",106541,3,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,92698,30.97,2012,"Vermont","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Vermont",106541,3,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",3,178573,55.72,2016,"Vermont","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Vermont",83204,3,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,95369,29.76,2016,"Vermont","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Vermont",83204,3,"Donald Trump","Hillary Clinton",77744
"Bernie Sanders write in","Independent","Vermont","none",0,18218,5.68,2016,"Vermont","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Vermont",83204,3,"Donald Trump","Hillary Clinton",77744
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",12,141670,61.32,1920,"Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Virginia",54214,12,"Warren G Harding","James M Cox",1291746
"Warren G Harding","Republican","Ohio","Calvin Coolidge",0,87456,37.85,1920,"Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Virginia",54214,12,"Warren G Harding","James M Cox",1291746
"John W Davis","Democratic","West Virginia","Charles W Bryan",12,139797,62.5,1924,"Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Virginia",66438,12,"Calvin Coolidge","John W Davis",775520
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",0,73359,32.8,1924,"Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Virginia",66438,12,"Calvin Coolidge","John W Davis",775520
"Herbert Hoover","Republican","Iowa","Charles Curtis",12,164609,53.91,1928,"Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Virginia",24463,12,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,140146,45.9,1928,"Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Virginia",24463,12,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John N Garner",11,203979,68.46,1932,"Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Virginia",114342,11,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","Iowa","Charles Curtis",0,89637,29.39,1932,"Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Virginia",114342,11,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John N Garner",11,234980,70.23,1936,"Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Virginia",136644,11,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,98336,29.39,1936,"Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Virginia",136644,11,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",11,235961,68.08,1940,"Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Virginia",126598,11,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","New York","Charles L McNary",0,109363,31.55,1940,"Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Virginia",126598,11,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",11,242276,62.36,1944,"Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Virginia",97033,11,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,145243,37.39,1944,"Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Virginia",97033,11,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",11,200786,47.89,1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia",28716,11,"Harry S Truman","Harry S Truman",111495
"Thomas E Dewey","Republican","New York","Earl Warren",0,172070,41.04,1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia",28716,11,"Harry S Truman","Harry S Truman",111495
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright",0,43393,10.35,1948,"Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Virginia",28716,11,"Harry S Truman","Harry S Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",12,349037,56.32,1952,"Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Virginia",80360,12,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,268677,43.36,1952,"Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Virginia",80360,12,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",12,386459,55.37,1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia",118699,12,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,267760,38.36,1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia",118699,12,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"T Coleman Andrews","Dixiecrat","Virginia","Thomas H Werdel",0,42964,6.16,1956,"Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Virginia",118699,12,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",12,404521,52.4,1960,"Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Virginia",42194,12,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,362327,47,1960,"Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Virginia",42194,12,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",12,558038,53.5,1964,"Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Virginia",76704,12,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,481334,46.2,1964,"Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Virginia",76704,12,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",12,590319,43.4,1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia",147932,12,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,442387,32.5,1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia",147932,12,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Curtis LeMay",0,320272,23.6,1968,"Virginia","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Virginia",147932,12,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",11,988493,67.8,1972,"Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Virginia",549606,11,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton",0,438887,30.1,1972,"Virginia","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Virginia",549606,11,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",12,836554,49.29,1976,"Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Virginia",22658,12,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,813896,47.96,1976,"Virginia","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Virginia",22658,12,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",12,989609,53.03,1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia",237435,12,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,752174,40.31,1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia",237435,12,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,95418,5.11,1980,"Virginia","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Virginia",237435,12,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",12,1337078,62.29,1984,"Virginia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Virginia",540828,12,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,796250,37.09,1984,"Virginia","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Virginia",540828,12,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",12,1309162,59.74,1988,"Virginia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Virginia",449363,12,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,859799,39.23,1988,"Virginia","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Virginia",449363,12,"George H W Bush","George H W Bush",1098368
"George H W Bush","Republican","Texas","Dan Quayle",13,1150517,44.97,1992,"Virginia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Virginia",111867,13,"Bill Clinton","George H W Bush",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",0,1038650,40.59,1992,"Virginia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Virginia",111867,13,"Bill Clinton","George H W Bush",569655
"Ross Perot","Independent","Texas","James Stockdale",0,348639,13.63,1992,"Virginia","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Virginia",111867,13,"Bill Clinton","George H W Bush",569655
"Bob Dole","Republican","Kansas","Jack Kemp",13,1138350,47.1,1996,"Virginia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Virginia",47290,13,"Bill Clinton","Bob Dole",1151013
"Bill Clinton","Democratic","Arkansas","Al Gore",0,1091060,45.15,1996,"Virginia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Virginia",47290,13,"Bill Clinton","Bob Dole",1151013
"Ross Perot","Reform","Texas","Patrick Choate",0,159861,6.62,1996,"Virginia","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Virginia",47290,13,"Bill Clinton","Bob Dole",1151013
"George W Bush","Republican","Texas","Dick Cheney",13,1437490,52.47,2000,"Virginia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Virginia",220200,13,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,1217290,44.44,2000,"Virginia","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Virginia",220200,13,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",13,1716959,53.73,2004,"Virginia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Virginia",262217,13,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,1454742,45.53,2004,"Virginia","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Virginia",262217,13,"George W Bush","George W Bush",115570
"Barack Obama","Democratic","Illinois","Joe Biden",13,1959532,52.63,2008,"Virginia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Virginia",234527,13,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,1725005,46.33,2008,"Virginia","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Virginia",234527,13,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",13,1971820,51.16,2012,"Virginia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Virginia",149298,13,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,1822522,47.28,2012,"Virginia","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Virginia",149298,13,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",13,1981473,49.73,2016,"Virginia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Virginia",212030,13,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,1769443,44.41,2016,"Virginia","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Virginia",212030,13,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",7,223137,55.96,1920,"Washington_(state)","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)",138839,7,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,84298,21.14,1920,"Washington_(state)","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)",138839,7,"Warren G Harding","Warren G Harding",1291746
"Parley P Christensen","Farmer Labor","Illinois","Max S Hayes",0,77246,19.37,1920,"Washington_(state)","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Washington_(state)",138839,7,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",7,220224,52.24,1924,"Washington_(state)","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)",69497,7,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,150727,35.76,1924,"Washington_(state)","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)",69497,7,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,42842,10.16,1924,"Washington_(state)","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Washington_(state)",69497,7,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",7,335844,67.06,1928,"Washington_(state)","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Washington_(state)",179072,7,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,156772,31.3,1928,"Washington_(state)","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Washington_(state)",179072,7,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",8,353260,57.46,1932,"Washington_(state)","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Washington_(state)",144615,8,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,208645,33.94,1932,"Washington_(state)","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Washington_(state)",144615,8,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",8,459579,66.4,1936,"Washington_(state)","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Washington_(state)",252687,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,206892,29.9,1936,"Washington_(state)","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Washington_(state)",252687,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",8,462145,58.2,1940,"Washington_(state)","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Washington_(state)",140022,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
